,mean_precipitation
0,0.00038801948280933887
1,8.523463748133508e-07
2,3.060961807703305e-06
3,6.303778873212917e-06
4,0.0
5,1.7163932852781727e-06
6,0.0
7,2.5654608180047944e-06
8,1.7225742112714215e-06
9,0.00016920962660695046
10,5.221765455299798e-05
11,7.456767508165406e-05
12,3.856548536507392e-06
13,2.8491149071898272e-09
14,1.2963688504896709e-06
15,1.7205434232892003e-06
16,9.574197560616404e-05
17,8.568651608700513e-05
18,3.833565975259418e-05
19,1.3385891109350882e-06
20,0.0
21,9.06455436313506e-07
22,8.523463748133508e-07
23,8.553265615773853e-07
24,8.67841549734294e-07
25,1.2785692524631824e-06
26,0.00016601308720895142
27,3.609254525274065e-06
28,6.762893966788478e-06
29,1.2993812106287805e-06
30,1.3067767653365522e-05
31,4.067604574843138e-05
32,0.0
33,2.1516434571822174e-06
34,3.00916417472763e-06
35,4.827265772079165e-06
36,5.733365687403843e-06
37,0.00018176843888084688
38,0.0016077860588866904
39,6.527098564411775e-05
40,2.978883167821833e-05
41,4.351138045421976e-07
42,3.004073732881807e-06
43,4.341298031267543e-05
44,0.003954881319868123
45,0.0011765944145985879
46,0.0016125798785948395
47,0.0018175567976766753
48,0.00021667187136800034
49,4.011081369592597e-05
50,0.0023994073280294366
51,0.003732713345110645
52,0.04126166880538054
53,0.04329964301879346
54,0.0014158687984307595
55,0.009476079674899633
56,0.01847195489734862
57,0.007167593984615626
58,0.00957345714121374
59,0.00714017887004732
60,0.00797653848617146
61,0.01059903333983441
62,0.03685413029599469
63,0.0190219880743224
64,0.01705678477295651
65,0.008148653513117854
66,0.000535650163710794
67,0.0004838377706629774
68,0.0018107127475883863
69,0.0009956800302949316
70,0.00031230869677691586
71,0.000518600052380959
72,0.0005431221332809154
73,8.967063418076278e-07
74,5.250888703134628e-07
75,0.0003734500998098376
76,0.0006401500616918566
77,0.028282223029370692
78,0.026889745179152352
79,0.01120258188634249
80,0.015381614276081998
81,0.007592771168921172
82,0.0019986543219481763
83,0.00046726692585028563
84,0.0003257223715590587
85,0.003375131955215657
86,0.001769140587264741
87,0.0001815090084876645
88,0.0005248833560944306
89,0.010077375369362483
90,0.0006597940728947391
91,0.00019913768675633277
92,0.00012830736917116266
93,0.0003364200619727661
94,0.002825814685689587
95,0.0011047080331321845
96,0.00020018002409784665
97,0.00028185703017031383
98,7.45463251077527e-05
99,6.520509145220158e-05
100,0.0001704737113088396
101,0.00016024565652781897
102,0.00013722638951604017
103,6.656387231519201e-05
104,0.00427350867055997
105,0.009362381795920955
106,0.004238430250528073
107,0.0032450103973945335
108,0.0003303311103805766
109,0.0004294811034316959
110,4.148160700835648e-05
111,0.00011831522897549237
112,0.0007872220249577222
113,0.00011352594618625961
114,0.0019303058305923406
115,0.01376075636624375
116,0.016294643961996706
117,0.03781633126067029
118,0.020740015637597992
119,0.01249392402073051
120,0.014274784927823692
121,0.015305490362029939
122,0.01866089053973833
123,0.00044084988127313963
124,0.0005512389197483983
125,0.000152547930449672
126,0.00351045595265779
127,0.005697990074985555
128,0.018347149848019394
129,0.025511746912920876
130,0.01094109002274995
131,0.006777874596492334
132,0.00852174944620609
133,0.014642090501224484
134,0.00019108969114062853
135,0.0013765211015445945
136,0.0005694802918025292
137,0.000209658976196483
138,8.350985167586677e-05
139,7.748515014581574e-05
140,0.0004316441524942692
141,0.00021760227323107842
142,9.606049888286541e-05
143,6.8574987097229505e-06
144,2.1167497748135242e-06
145,3.99470133037273e-05
146,5.706239047573582e-05
147,0.0001533924553814319
148,6.0373458365455895e-05
149,0.00014136367910896658
150,0.0018952977581122967
151,2.6641586283065927e-05
152,0.0007348953462571398
153,0.00014209729814261942
154,3.589625989844064e-05
155,2.341071575245018e-06
156,4.2815476307197965e-06
157,0.0
158,8.375552624784177e-07
159,8.587012416683137e-07
160,1.7046927496267017e-06
161,1.293420723413874e-06
162,4.261732051702438e-07
163,2.307170807329757e-05
164,0.0
165,4.297494342608843e-06
166,8.404256277572131e-07
167,4.129364075949839e-07
168,0.00013812585660066804
169,0.00010330954813100499
170,2.7984835132720345e-05
171,2.565376803431718e-06
172,0.0005311416936088583
173,0.00010457760293643887
174,3.171398073408711e-05
175,9.171685610394224e-05
176,0.0002145134075810051
177,2.7509829018013614e-05
178,0.0008947839264465276
179,0.0001243830440586255
180,6.987441059781752e-05
