image_id,date,wse_m,boundary_area_m2,boundary_perimeter_m,perimeter_ratio,is_outlier,dem_extent_m2,pct_diff,expansion_volume_m3,expansion_pixel_count,excluded_from_volume_calc
20160131,2016-01-31,996.64014,41557667.21862876,83680.09919696339,1.281398816438473,False,39873125.49745897,-4.053504043688639,0.0,0.0,False
20160229,2016-02-29,994.9696,39239886.76989354,63930.50575145763,0.9789720039816058,False,37941329.60022982,-3.309278585023916,0.0,0.0,False
20160331,2016-03-31,996.647,42277580.13479829,97494.9267644509,1.4929461719526318,False,39879383.0501108,-5.672503196826898,0.0,0.0,False
20160430,2016-04-30,994.5314,38582519.65735152,63091.761022215935,0.9661282512416076,False,37520285.700371,-2.753148229856803,0.0,0.0,False
20160531,2016-05-31,995.095,39278395.50264004,63149.4040718117,0.9670109430194228,False,38064692.78108018,-3.0900007651236225,0.0,0.0,False
20160630,2016-06-30,995.095,39278395.50264004,63149.4040718117,0.9670109430194228,False,38064692.78108018,-3.0900007651236225,0.0,0.0,False
20160731,2016-07-31,995.25,39482584.12531015,65007.04270920443,0.9954570846249982,False,38240798.19142453,-3.1451485798002192,0.0,0.0,False
20160831,2016-08-31,995.1549,39465574.71693511,63871.249756428624,0.9780646130651786,False,38123692.56322601,-3.400133314499256,0.0,0.0,False
20160930,2016-09-30,996.20734,39686836.628802,84575.13696013455,1.2951045880783434,False,39328718.41674978,-0.9023601840624426,0.0,0.0,False
20161031,2016-10-31,995.5422,39654529.66293625,63986.54471215796,0.9798301322415498,False,38551887.95182978,-2.7806198194227134,0.0,0.0,False
20161130,2016-11-30,997.03,42373411.30315435,97024.17975040092,1.4857375922253808,False,40336184.39369437,-4.8077953764093655,0.0,0.0,False
20161231,2016-12-31,1005.42804,46576226.75202084,141225.37304359375,2.162593347830422,True,47043386.90036271,1.0030012753697255,,,True
20170131,2017-01-31,995.13104,39088510.348536365,66262.86278158663,1.0146875392952603,False,38099556.2887118,-2.5300377297739463,0.0,0.0,False
20170228,2017-02-28,995.3745,39922250.32171278,79907.3839865065,1.2236269823724073,False,38375782.54148543,-3.873698921691948,0.0,0.0,False
20170331,2017-03-31,996.391,42178056.7790169,106533.29352838488,1.631351271671516,False,39545944.88737759,-6.24047690349915,0.0,0.0,False
20170430,2017-04-30,995.32764,39961633.961306185,78771.52100162565,1.2062334384063957,False,38329297.86464327,-4.084758141379967,0.0,0.0,False
