image_id,file_path,no_images
2020-01-31,dataset/bogoria/raw/sentinel1/2020-01-31_VV_ASCENDING.tif,3
2020-02-29,dataset/bogoria/raw/sentinel1/2020-02-29_VV_ASCENDING.tif,2
