start_date,end_date,file_path,no_images
2023-01-01,2023-01-31,dataset/bogoria/raw/sentinel2/bogoria_2023-01-01_to_2023-01-31_cloud30.tif,6
2023-02-01,2023-02-28,dataset/bogoria/raw/sentinel2/bogoria_2023-02-01_to_2023-02-28_cloud30.tif,5
